1.0	pillar three ring	one of	gold
1.0	she daughters-in-law	remain	alive
1.0	she daughters-in-law	remain in	house
1.0	she daughters-in-law	remain in	whole house
1.0	we	destroy	scoundrel
1.0	they	sit in	chamber
1.0	they	speak among	themselves
1.0	peasant	have	son
1.0	he	try	drink
1.0	Ivan peasant 's son	say to	they
1.0	Ivan peasant 's son	come to	he companion
1.0	Ivan peasant 's son	come back to	he companion
1.0	they	make	ready
1.0	terrible hunger	once come to	they
1.0	hunger	once come to	they
1.0	terrible hunger	come to	they
1.0	hunger	come to	they
1.0	they	have	nothing eat
1.0	Ivan 's companion	pluck	apple
1.0	Ivan	forbid	they
1.0	Ivan	have	companion
1.0	he	cut down	it
1.0	blood	spurt out of	its trunk
1.0	they	soon afterward be overwhelm by	thirst
1.0	they	afterward be overwhelm by	thirst
1.0	they	be	overwhelm
1.0	they	be overwhelm by	thirst
1.0	they	be	afterward overwhelm
1.0	they	be	soon afterward overwhelm
1.0	blood	flow from	well
1.0	he companion	drink from	it
1.0	Ivan	forbid	he companion
1.0	bed	stand on	road
1.0	Ivan	slash too through	it
1.0	Ivan	slash through	it
1.0	they	come to	mouth open from earth
1.0	they	come to	mouth open from earth to sky
1.0	they	last come to	mouth
1.0	they	come to	mouth open
1.0	they	last come to	mouth open
1.0	they	last come to	mouth open from earth
1.0	they	come to	mouth open to sky
1.0	they	come to	mouth
1.0	they	last come to	mouth open from earth to sky
1.0	they	last come to	mouth open to sky
1.0	they	jump over	it
1.0	they	jump on	run
1.0	he	be rescue from	predicament
1.0	whose brow	bear	moon
1.0	whose brow	bear	glistening moon
1.0	he	be	rescue
1.0	he	meet	little man as big
1.0	he	meet	little man
0.5815439783569778	little man	big as	thumb
1.0	he	meet	man big
1.0	he	meet	man as big as thumb
1.0	he	meet	little man as big as thumb
1.0	he	meet	man
1.0	he	meet	little man big as thumb
0.5815439783569778	man	as big as	thumb
1.0	he	meet	man big as thumb
0.5815439783569778	little man	as big as	thumb
0.5815439783569778	man	big as	thumb
1.0	he	meet	little man big
1.0	he	meet	man as big
1.0	little man big	be with	mustache seven verst long
1.0	Ivan	grieve for	he horse
1.0	Ivan	grieve greatly for	he horse
1.0	Ivan	enter	hut
1.0	footless man	be lie in	hut
1.0	man	be lie on	stove
1.0	man	be lie in	hut
1.0	footless man	be lie on	stove
1.0	he	say to	Ivan
1.0	I	be	greater
1.0	he	eat off	my hand
1.0	he	yet eat off	my hand
1.0	he	recover	he horse
1.0	Ivan	ask	man
1.0	man	say to	he
1.0	footless man	say to	he
1.0	Ivan	take	ferry boat
1.0	Ivan	bow deeply to	he
1.0	Ivan	bow to	he
1.0	they	offer	he
1.0	they	offer	money
1.0	he	refuse	it
1.0	I	row ferry for	three year
1.0	man	tell	I
1.0	I	row	ferry
1.0	good man	tell	I
1.0	peasant	have	son
1.0	magician	draw	picture
1.0	magician	draw	picture of boat
0.5249172882554555	draw	picture of	boat on sand
1.0	magician	draw	picture of boat on sand
0.5249172882554555	draw	picture of	boat
1.0	magician	step on	shore
1.0	we	see	it
1.0	boat	suddenly rise in	air
1.0	boat	rise like	arrow shot from bow
1.0	boat	rise in	trice
1.0	boat	rise like	arrow shot
1.0	boat	suddenly rise like	arrow shot from bow
1.0	boat	rise in	air
1.0	boat	suddenly rise like	arrow shot
1.0	boat	suddenly rise in	trice
1.0	house	live man with	mustache seven verst long
0.23894290573990895	house	live in	house
1.0	house	live	little man
0.23894290573990895	house	live with	mustache seven verst long
1.0	house	live	man
0.23894290573990895	house	live with	mustache seven verst
1.0	house	live man in	house
1.0	house	live man with	mustache seven verst
1.0	old man	send	Ivan
1.0	Ivan	ask for	horse
1.0	man	send	Ivan
1.0	little man big	be with	mustache seven verst long
1.0	king	have	daughter
1.0	king 's daughter	bring	she
1.0	I	will return	you horse
1.0	they	leave	he
1.0	they	go to	king
1.0	Ivan	tell to	he companion
1.0	king	order	he servant
1.0	he servant	heat	bath hot
1.0	he servant	heat	bath red hot
1.0	they	thank	he
1.0	he guest	go into	bath
1.0	magician	order	freezer
1.0	they	wash	themselves
1.0	freezer	cool	it
1.0	they	come before	king
1.0	great feast	be	serve
1.0	array	be place on	table
1.0	vast array	be	place
1.0	vast array	be place on	table
1.0	feast	be	serve
1.0	array	be	place
1.0	Glutton	eat	everything
1.0	three guest	make preparation at	night
1.0	three guest	make	preparation
1.0	three guest	bring	she
1.0	three guest	steal	princess
1.0	three guest	get	horse
1.0	guest	make preparation at	night
1.0	guest	make	secret preparation
1.0	three guest	get horse in	exchange
1.0	guest	get horse in	exchange
1.0	guest	steal	princess
1.0	guest	make	preparation
1.0	three guest	make	secret preparation
1.0	guest	get	horse
1.0	guest	bring	she
1.0	Ivan peasant 's son	start on	he journey back to king
1.0	Ivan peasant 's son	bow deeply to	man
1.0	Ivan peasant 's son	bow to	old man
1.0	Ivan peasant 's son	bow to	man
1.0	Ivan peasant 's son	bow deeply to	old man
1.0	Ivan peasant 's son	start on	he journey back
1.0	Ivan peasant 's son	start on	he journey
1.0	Ivan peasant 's son	bestride	horse
1.0	he	stop in	field
1.0	he	stop in	open field
1.0	he	pitch	he tent
1.0	he	discover	princess lie
1.0	he	discover	princess lie beside he
1.0	he	discover	princess
1.0	he	be	overjoyed
1.0	Ivan peasant 's son	stick	she
1.0	youth	tell	he
1.0	brave youth	tell	he
1.0	I	have bring	she back
1.0	he	go in	he collar
1.0	he	go into	room
1.0	he	go into	next room
1.0	Ivan	take	she
1.0	Ivan	lead	she
1.0	king	be	more overjoyed
1.0	king	take	horse
1.0	king	take horse for	himself
1.0	king	give	he daughter
1.0	peasant	have	son in marriage
1.0	peasant 's son	be in	marriage
1.0	king	give	peasant 's son in marriage
1.0	king	be	even more overjoyed
1.0	king	be	even overjoyed
1.0	king	be	overjoyed
1.0	king	give	peasant 's son
1.0	Ivan	even now be live with	he wife
1.0	Ivan	now be live happily with	he wife
1.0	Ivan	be live with	he young wife
1.0	Ivan	be live with	he wife
1.0	Ivan	even now be live happily with	he young wife
1.0	Ivan	be live happily with	he wife
1.0	Ivan	even now be live with	he young wife
1.0	Ivan	now be live happily with	he young wife
1.0	Ivan	even now be live happily with	he wife
1.0	Ivan	now be live with	he wife
1.0	Ivan	be live happily with	he young wife
1.0	Ivan	now be live with	he young wife
